edge_id,from_node,to_node,link_name,road_type,distance_m,num_lanes,speed_limit_kmh,capacity_vph,free_flow_travel_time_sec
0,0,1,Arterial_Main_EB_1,arterial,250.0,2,60,2400,15.0
1,1,0,Arterial_Main_WB_1,arterial,250.0,2,60,2400,15.0
2,1,2,Arterial_Main_EB_2,arterial,250.0,2,50,2200,18.0
3,2,1,Arterial_Main_WB_2,arterial,250.0,2,50,2200,18.0
4,2,3,Arterial_Main_EB_3,arterial,250.0,2,50,2200,18.0
5,3,2,Arterial_Main_WB_3,arterial,250.0,2,50,2200,18.0
6,1,4,Connector_A1_N1_NB,connector,250.0,1,40,1000,22.5
7,4,1,Connector_N1_A1_SB,connector,250.0,1,40,1000,22.5
8,2,5,Corridor_A2_CBD_NB,arterial,250.0,2,50,1800,18.0
9,5,2,Corridor_CBD_A2_SB,arterial,250.0,2,50,1800,18.0
10,3,6,Connector_East_N3_NB,connector,250.0,1,40,1000,22.5
11,6,3,Connector_N3_East_SB,connector,250.0,1,40,1000,22.5
12,4,5,North_Avenue_EB_1,local_feeder,250.0,1,40,1000,22.5
13,5,4,North_Avenue_WB_1,local_feeder,250.0,1,40,1000,22.5
14,5,6,North_Avenue_EB_2,local_feeder,250.0,1,40,1000,22.5
15,6,5,North_Avenue_WB_2,local_feeder,250.0,1,40,1000,22.5
16,1,7,Connector_A1_S1_SB,connector,250.0,1,40,1000,22.5
17,7,1,Connector_S1_A1_NB,connector,250.0,1,40,1000,22.5
18,2,8,Transit_Access_SB,arterial,250.0,2,50,1800,18.0
19,8,2,Transit_Access_NB,arterial,250.0,2,50,1800,18.0
20,3,9,Connector_East_S3_SB,connector,250.0,1,40,1000,22.5
21,9,3,Connector_S3_East_NB,connector,250.0,1,40,1000,22.5
22,7,8,South_Boulevard_EB_1,local_feeder,250.0,1,40,1000,22.5
23,8,7,South_Boulevard_WB_1,local_feeder,250.0,1,40,1000,22.5
24,8,9,South_Boulevard_EB_2,local_feeder,250.0,1,40,1000,22.5
25,9,8,South_Boulevard_WB_2,local_feeder,250.0,1,40,1000,22.5
